"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2345","Üres keresés","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestUresKerese","test_ures_kereses","",""
"TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","5000","TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestPropertyEdit","test_property_edit","",""
"Registration with wrong email confirmation","1721","Registration eng tc08","sprint2.POM.tests","2026-07-05","failed","2026-07-05","TestRegistration","test_registration","",""
"Login with wrong password","761","Login eng tc05","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLogin","test_login","",""
"Registration without phone number","1676","Registration eng tc05","sprint2.POM.tests","2026-07-05","failed","2026-07-05","TestRegistration","test_registration","",""
"TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","5938","TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestPropertyEdit","test_property_edit","",""
"Login valid - happy path","853","Login eng tc01","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLogin","test_login","",""
"","2048","Üres keresés","sprint2.POM.tests","2026-07-05","failed","2026-07-05","TestUresKerese","test_ures_kereses","",""
"TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","5225","TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","sprint2.POM.tests","2026-07-05","failed","2026-07-05","TestPropertyEdit","test_property_edit","",""
"Registration with wrong password","1758","Registration eng tc09","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestRegistration","test_registration","",""
"Registration with wrong email & password confirmation","1411","Registration eng tc11","sprint2.POM.tests","2026-07-05","failed","2026-07-05","TestRegistration","test_registration","",""
"TC03 - Cím módosítása és mentése.","7833","TC03 - Cím módosítása és mentése.","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestPropertyEdit","test_property_edit","",""
"Login without email","410","Login eng tc02","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLogin","test_login","",""
"","320","Nyelv egységesítése a főoldalon","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLanguageEnglish","test_language_english","",""
"Registration with short names","1691","Registration eng tc12","sprint2.POM.tests","2026-07-05","failed","2026-07-05","TestRegistration","test_registration","",""
"","1105","Nyelv egységesítése az eladó oldalon","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLanguageEnglish","test_language_english","",""
"Registration with same email","1701","Registration eng tc02","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestRegistration","test_registration","",""
"TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","4749","TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestPropertyEdit","test_property_edit","",""
"TC06 - Negatív eset: Mentési kísérlet, érvénytelen címmel.","5690","TC06 - Negatív eset: Mentési kísérlet, érvénytelen címmel.","sprint2.POM.tests","2026-07-05","failed","2026-07-05","TestPropertyEdit","test_property_edit","",""
"Registration without last name","1759","Registration eng tc03","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestRegistration","test_registration","",""
"Registration with invalid names and phone number","1706","Registration eng tc06","sprint2.POM.tests","2026-07-05","failed","2026-07-05","TestRegistration","test_registration","",""
"","3883","TC01 - Ingatlan törlés.","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestPropertyDelete","test_property_delete","",""
"Login with wrong email","778","Login eng tc04","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLogin","test_login","",""
"","932","Nyelv egységesítése a kiadó oldalon","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLanguageEnglish","test_language_english","",""
"Login without password","772","Login eng tc03","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLogin","test_login","",""
"","3581","TC02 - Ingatlan törlésének visszavonása.","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestPropertyDelete","test_property_delete","",""
"TC01 - Ingatlan leírásának módosítása és mentése.","6191","TC01 - Ingatlan leírásának módosítása és mentése.","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestPropertyEdit","test_property_edit","",""
"TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","4665","TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestPropertyEdit","test_property_edit","",""
"Registration with wrong password confirmation","1710","Registration eng tc10","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestRegistration","test_registration","",""
"Registration without first name","1779","Registration eng tc04","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestRegistration","test_registration","",""
"Registration - valid","1695","Registration eng tc01","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestRegistration","test_registration","",""
"TC02 - Alapadatok módosítása és mentése.","6857","TC02 - Alapadatok módosítása és mentése.","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestPropertyEdit","test_property_edit","",""
"","11455","404-es oldal megjelenítése","sprint2.POM.tests","2026-07-05","failed","2026-07-05","TestErrorPage","test_404_page","",""
"","603","Nyelv egységesítése a regisztráció oldalán","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLanguageEnglish","test_language_english","",""
"","593","Nyelv egységesítése a bejelentkezés oldalon","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestLanguageEnglish","test_language_english","",""
"Registration with invalid email","1693","Registration eng tc07","sprint2.POM.tests","2026-07-05","passed","2026-07-05","TestRegistration","test_registration","",""
