"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Registration without last name","1795","Registration eng tc03","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","6077","TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration with wrong password","1738","Registration eng tc09","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"","1000","Nyelv egységesítése az eladó oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"","514","Nyelv egységesítése a főoldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"Login valid - happy path","792","Login eng tc01","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","5176","TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","809","Nyelv egységesítése a kiadó oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","5647","TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration - valid","1706","Registration eng tc01","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration without phone number","1690","Registration eng tc05","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"","11842","404-es oldal megjelenítése","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestErrorPage","test_404_page","",""
"TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","5703","TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Login without password","779","Login eng tc03","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"TC02 - Alapadatok módosítása és mentése.","6887","TC02 - Alapadatok módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","3891","TC01 - Ingatlan törlés.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyDelete","test_property_delete","",""
"","3632","TC02 - Ingatlan törlésének visszavonása.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyDelete","test_property_delete","",""
"TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","5015","TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","4753","TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration with wrong email confirmation","1771","Registration eng tc08","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"Registration with wrong email & password confirmation","1401","Registration eng tc11","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"","633","Nyelv egységesítése a regisztráció oldalán","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"Registration with invalid names and phone number","1757","Registration eng tc06","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"","2354","Üres keresés","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestUresKerese","test_ures_kereses","",""
"TC03 - Cím módosítása és mentése.","7892","TC03 - Cím módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Login with wrong email","803","Login eng tc04","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"Registration without first name","1760","Registration eng tc04","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration with invalid email","1732","Registration eng tc07","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Login with wrong password","779","Login eng tc05","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","457","Nyelv egységesítése a bejelentkezés oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"Registration with short names","1717","Registration eng tc12","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"Registration with wrong password confirmation","1773","Registration eng tc10","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"TC01 - Ingatlan leírásának módosítása és mentése.","6247","TC01 - Ingatlan leírásának módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Login without email","427","Login eng tc02","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"Registration with same email","1743","Registration eng tc02","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"","2413","Üres keresés","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestUresKerese","test_ures_kereses","",""
