"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Nyelv egységesítése a főoldalon","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestLanguageEnglish","test_language_english","",""
"TC03 - Cím módosítása és mentése.","0","TC03 - Cím módosítása és mentése.","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","0","Registration eng tc11","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestRegistration","test_registration","",""
"","0","Registration eng tc02","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestRegistration","test_registration","",""
"","0","Nyelv egységesítése a bejelentkezés oldalon","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestLanguageEnglish","test_language_english","",""
"TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","0","TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","0","Registration eng tc03","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestRegistration","test_registration","",""
"","0","Registration eng tc01","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestRegistration","test_registration","",""
"TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","0","TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC02 - Alapadatok módosítása és mentése.","0","TC02 - Alapadatok módosítása és mentése.","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyEdit","test_property_edit","",""
"A 4 negatív teszteset összevonva, dinamikus Allure megnevezésekkel.","0","test_login_invalid_cases[-1234_Abcd-Login eng tc02-Login without email-tag0]","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestLogin","test_login","",""
"","0","Nyelv egységesítése a kiadó oldalon","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestLanguageEnglish","test_language_english","",""
"TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","0","TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","0","TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","0","TC02 - Ingatlan törlésének visszavonása.","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyDelete","test_property_delete","",""
"TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","0","TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC01 - Ingatlan leírásának módosítása és mentése.","0","TC01 - Ingatlan leírásának módosítása és mentése.","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","0","Registration eng tc04","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestRegistration","test_registration","",""
"","0","TC01 - Ingatlan törlés.","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestPropertyDelete","test_property_delete","",""
