"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Registration with short names","1550","Registration eng tc12","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
"Registration with wrong email confirmation","1581","Registration eng tc08","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
"Registration without last name","1586","Registration eng tc03","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"TC02 - Alapadatok módosítása és mentése.","6989","TC02 - Alapadatok módosítása és mentése.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"","1122","Üres keresés","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestUresKerese","test_ures_kereses","",""
"Registration without phone number","1540","Registration eng tc05","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
"Registration - valid","1546","Registration eng tc01","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"Login with wrong email","707","Login eng tc04","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","4804","TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"","434","Nyelv egységesítése a kiadó oldalon","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"","3760","TC01 - Ingatlan törlés.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyDelete","test_property_delete","",""
"Login valid - happy path","733","Login eng tc01","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"Registration with invalid names and phone number","1553","Registration eng tc06","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
"TC06 - Negatív eset: Mentési kísérlet, érvénytelen címmel.","5378","TC06 - Negatív eset: Mentési kísérlet, érvénytelen címmel.","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"Registration with wrong password confirmation","1584","Registration eng tc10","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","4934","TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"Login without email","187","Login eng tc02","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"TC01 - Ingatlan leírásának módosítása és mentése.","6011","TC01 - Ingatlan leírásának módosítása és mentése.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"Registration with wrong password","1577","Registration eng tc09","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"Registration with wrong email & password confirmation","1224","Registration eng tc11","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
"Registration with invalid email","1563","Registration eng tc07","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
