"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","4623","TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration - valid","1712","Registration eng tc01","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"","10493","Nyelv egységesítése a főoldalon","sprint2.POM.tests","2026-06-30","broken","2026-06-30","TestLanguageEnglish","test_language_english","",""
"","3564","TC02 - Ingatlan törlésének visszavonása.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyDelete","test_property_delete","",""
"","1124","Nyelv egységesítése az eladó oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","4942","TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration with invalid names and phone number","1700","Registration eng tc06","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"Registration without last name","1718","Registration eng tc03","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration without first name","1720","Registration eng tc04","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration with invalid email","1701","Registration eng tc07","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"TC02 - Alapadatok módosítása és mentése.","6733","TC02 - Alapadatok módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Login valid - happy path","817","Login eng tc01","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"Login without password","756","Login eng tc03","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"Registration with wrong email & password confirmation","1376","Registration eng tc11","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"Registration with wrong email confirmation","1742","Registration eng tc08","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"Registration with wrong password","1704","Registration eng tc09","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration with short names","1658","Registration eng tc12","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","4723","TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","1796","Üres keresés","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestUresKerese","test_ures_kereses","",""
"Registration with wrong password confirmation","1760","Registration eng tc10","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Login with wrong email","762","Login eng tc04","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","5622","TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","5942","TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","5624","TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","1154","Nyelv egységesítése a kiadó oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"","2235","Üres keresés","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestUresKerese","test_ures_kereses","",""
"Registration with same email","1697","Registration eng tc02","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"","11874","404-es oldal megjelenítése","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestErrorPage","test_404_page","",""
"","3879","TC01 - Ingatlan törlés.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyDelete","test_property_delete","",""
"TC01 - Ingatlan leírásának módosítása és mentése.","6238","TC01 - Ingatlan leírásának módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Login without email","271","Login eng tc02","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","573","Nyelv egységesítése a regisztráció oldalán","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"Login with wrong password","788","Login eng tc05","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","503","Nyelv egységesítése a bejelentkezés oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"Registration without phone number","1663","Registration eng tc05","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"TC03 - Cím módosítása és mentése.","6762","TC03 - Cím módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
