"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Registration without first name","1598","Registration eng tc04","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","4977","TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"Registration with wrong email & password confirmation","1245","Registration eng tc11","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
"TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","5342","TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"Registration with same email","1592","Registration eng tc02","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"","1705","Üres keresés","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestUresKerese","test_ures_kereses","",""
"","3459","TC02 - Ingatlan törlésének visszavonása.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyDelete","test_property_delete","",""
"Login with wrong email","709","Login eng tc04","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"","383","Nyelv egységesítése a bejelentkezés oldalon","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"TC03 - Cím módosítása és mentése.","7552","TC03 - Cím módosítása és mentése.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"TC01 - Ingatlan leírásának módosítása és mentése.","6060","TC01 - Ingatlan leírásának módosítása és mentése.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"Login without email","196","Login eng tc02","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"Login without password","701","Login eng tc03","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"Registration without last name","1604","Registration eng tc03","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"","768","Nyelv egységesítése az eladó oldalon","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"","327","Nyelv egységesítése a főoldalon","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"Registration with wrong password confirmation","1593","Registration eng tc10","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"Registration with invalid names and phone number","1573","Registration eng tc06","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
"Registration with short names","1557","Registration eng tc12","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
"","11648","404-es oldal megjelenítése","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestErrorPage","test_404_page","",""
"Registration without phone number","1573","Registration eng tc05","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
