"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Registration with short names","1708","Registration eng tc12","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"","503","Nyelv egységesítése a bejelentkezés oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"","1230","Nyelv egységesítése az eladó oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"","2008","Üres keresés","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestUresKerese","test_ures_kereses","",""
"Login with wrong password","882","Login eng tc05","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","5081","TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC03 - Cím módosítása és mentése.","7288","TC03 - Cím módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration with same email","1745","Registration eng tc02","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Login with wrong email","777","Login eng tc04","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","3545","TC02 - Ingatlan törlésének visszavonása.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyDelete","test_property_delete","",""
"TC01 - Ingatlan leírásának módosítása és mentése.","6182","TC01 - Ingatlan leírásának módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration without last name","1742","Registration eng tc03","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Login without password","799","Login eng tc03","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","4711","TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC02 - Alapadatok módosítása és mentése.","6703","TC02 - Alapadatok módosítása és mentése.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","5150","TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","3865","TC01 - Ingatlan törlés.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyDelete","test_property_delete","",""
"Registration - valid","1704","Registration eng tc01","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration with invalid email","1708","Registration eng tc07","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","5641","TC06 - Negatív eset: Mentési kísérlet listából ki nem választott, érvénytelen címmel.","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"","894","Nyelv egységesítése a kiadó oldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"Registration with wrong password confirmation","1717","Registration eng tc10","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","5027","TC08 - Kritikus architektúra eset: Szerver oldali validáció ellenőrzése frontend kikerülésével (Bypass kísérlet).","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration with invalid names and phone number","1715","Registration eng tc06","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","6018","TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestPropertyEdit","test_property_edit","",""
"Registration with wrong email confirmation","1751","Registration eng tc08","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"","485","Nyelv egységesítése a főoldalon","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
"","1874","Üres keresés","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestUresKerese","test_ures_kereses","",""
"Login without email","243","Login eng tc02","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"Registration with wrong email & password confirmation","1431","Registration eng tc11","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"","11965","404-es oldal megjelenítése","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestErrorPage","test_404_page","",""
"Registration with wrong password","1733","Registration eng tc09","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Registration without first name","1716","Registration eng tc04","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestRegistration","test_registration","",""
"Login valid - happy path","834","Login eng tc01","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"Registration without phone number","1708","Registration eng tc05","sprint2.POM.tests","2026-06-30","failed","2026-06-30","TestRegistration","test_registration","",""
"","517","Nyelv egységesítése a regisztráció oldalán","sprint2.POM.tests","2026-06-30","passed","2026-06-30","TestLanguageEnglish","test_language_english","",""
